mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Colour,Answer,Response.keys,Response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,Type,participant,session,id,group,date,expName,psychopyVersion,OS,frameRate,outer_loop.thisRepN,outer_loop.thisTrialN,outer_loop.thisN,outer_loop.thisIndex,outer_loop.ran
0.061111111,-0.413888889,0,0,0,green,k,,0,0,0,0,7,1,backdrop,Practice,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,green,k,,0,0,1,1,0,1,gradual,Practice,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,yellow,j,,0,0,2,2,6,1,gardener,Practice,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,3,3,14,1,crumb,Practice,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,4,4,2,1,distant,Practice,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,5,5,8,1,shoulder,Practice,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,green,k,,0,0,6,6,4,1,careful,Practice,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,7,7,10,1,describe,Practice,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,yellow,j,,0,0,8,8,13,1,back,Practice,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,9,9,12,1,area,Practice,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,10,10,9,1,bulletin,Practice,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,11,11,5,1,overall,Practice,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,12,12,3,1,carrier,Practice,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,yellow,j,,0,0,13,13,1,1,primate,Practice,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,14,14,11,1,cloakroom,Practice,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,,,,,,,,,,,,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,0,0,0,0,1
,,,,,green,k,,0,0,0,0,3,1,acre,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,green,k,,0,0,1,1,29,1,clipboard,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,yellow,j,,0,0,2,2,23,1,accept,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,yellow,j,,0,0,3,3,13,1,weatherman,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,yellow,j,,0,0,4,4,6,1,branch,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,5,5,28,1,basket,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,6,6,8,1,oven,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,7,7,1,1,plywood,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,8,8,26,1,solitary,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,green,k,,0,0,9,9,0,1,silverware,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,10,10,9,1,bathroom,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,11,11,14,1,lens,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,12,12,10,1,omission,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,13,13,27,1,dozen,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,14,14,16,1,involvement,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,yellow,j,,0,0,15,15,18,1,almond,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,16,16,15,1,biscuit,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,17,17,11,1,abbey,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,18,18,12,1,appendix,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,yellow,j,,0,0,19,19,19,1,asparagus,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,green,k,,0,0,20,20,22,1,tartar,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,yellow,j,,0,0,21,21,5,1,basis,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,22,22,24,1,consulate,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,23,23,20,1,clinic,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,green,k,,0,0,24,24,17,1,derive,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,25,25,7,1,allow,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,yellow,j,,0,0,26,26,21,1,adjacent,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,27,27,2,1,author,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,green,k,,0,0,28,28,4,1,conservative,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,29,29,25,1,hole,Neutral,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,,,,,,,,,,,,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,1,0,1,0,1
,,,,,red,d,,0,0,0,0,4,1,catastrophic,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,green,k,,0,0,1,1,18,1,hijack,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,2,2,21,1,massacre,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,3,3,15,1,hateful,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,yellow,j,,0,0,4,4,6,1,crisis,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,green,k,,0,0,5,5,26,1,parasite,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,yellow,j,,0,0,6,6,5,1,crime,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,7,7,9,1,disaster,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,8,8,14,1,harm,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,green,k,,0,0,9,9,20,1,killer,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,green,k,,0,0,10,10,27,1,worry,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,11,11,22,1,mugger,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,12,12,11,1,fatal,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,green,k,,0,0,13,13,3,1,bury,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,14,14,12,1,genocide,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,yellow,j,,0,0,15,15,16,1,heartbroken,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,green,k,,0,0,16,16,28,1,racism,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,17,17,17,1,herpes,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,yellow,j,,0,0,18,18,1,1,assault,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,yellow,j,,0,0,19,19,24,1,nightmare,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,green,k,,0,0,20,20,29,1,terrorism,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,red,d,,0,0,21,21,8,1,debt,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
,,,,,blue,f,,0,0,22,22,7,1,death,Negative,1,1,1,1,2022-12-26_17h23.03.689,estroop,2021.2.3,Win32,59.82650314,,,,,
