mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Colour,Answer,Response.keys,Response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,Type,participant,session,id,group,date,expName,psychopyVersion,OS,frameRate,outer_loop.thisRepN,outer_loop.thisTrialN,outer_loop.thisN,outer_loop.thisIndex,outer_loop.ran
0.038888889,-0.406481481,0,0,0,red,d,,0,0,0,0,1,1,primate,Practice,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,1,1,2,1,distant,Practice,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,green,k,,0,0,2,2,7,1,backdrop,Practice,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,3,3,6,1,gardener,Practice,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,4,4,3,1,carrier,Practice,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,5,5,0,1,gradual,Practice,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,6,6,9,1,bulletin,Practice,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,7,7,5,1,overall,Practice,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,8,8,4,1,careful,Practice,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,9,9,14,1,crumb,Practice,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,10,10,8,1,shoulder,Practice,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,11,11,12,1,area,Practice,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,12,12,11,1,cloakroom,Practice,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,green,k,,0,0,13,13,13,1,back,Practice,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,green,k,,0,0,14,14,10,1,describe,Practice,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,,,,,,,,,,,,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,0,0,0,0,1
,,,,,blue,f,,0,0,0,0,9,1,bathroom,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,1,1,2,1,author,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,2,2,7,1,allow,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,3,3,4,1,conservative,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,4,4,25,1,hole,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,green,k,,0,0,5,5,6,1,branch,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,6,6,8,1,oven,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,7,7,20,1,clinic,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,green,k,,0,0,8,8,19,1,asparagus,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,9,9,26,1,solitary,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,green,k,,0,0,10,10,14,1,lens,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,green,k,,0,0,11,11,11,1,abbey,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,12,12,23,1,accept,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,13,13,17,1,derive,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,14,14,21,1,adjacent,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,15,15,5,1,basis,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,16,16,0,1,silverware,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,17,17,12,1,appendix,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,green,k,,0,0,18,18,15,1,biscuit,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,19,19,13,1,weatherman,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,20,20,18,1,almond,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,21,21,1,1,plywood,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,22,22,22,1,tartar,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,23,23,16,1,involvement,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,24,24,29,1,clipboard,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,25,25,28,1,basket,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,26,26,3,1,acre,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,27,27,27,1,dozen,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,28,28,10,1,omission,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,green,k,,0,0,29,29,24,1,consulate,Neutral,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,,,,,,,,,,,,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,1,0,1,0,1
,,,,,red,d,,0,0,0,0,25,1,pain,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,1,1,2,1,attack,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,2,2,20,1,killer,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,3,3,23,1,murder,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,green,k,,0,0,4,4,17,1,herpes,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,green,k,,0,0,5,5,26,1,parasite,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,6,6,9,1,disaster,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,7,7,7,1,death,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,8,8,1,1,assault,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,9,9,27,1,worry,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,10,10,28,1,racism,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,11,11,8,1,debt,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,green,k,,0,0,12,12,3,1,bury,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,13,13,14,1,harm,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,14,14,29,1,terrorism,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,15,15,15,1,hateful,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,16,16,0,1,infidelity,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,17,17,5,1,crime,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,18,18,6,1,crisis,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,19,19,24,1,nightmare,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,blue,f,,0,0,20,20,4,1,catastrophic,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,21,21,19,1,kidnapper,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,22,22,22,1,mugger,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,23,23,11,1,fatal,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,green,k,,0,0,24,24,13,1,guillotine,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,red,d,,0,0,25,25,12,1,genocide,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,green,k,,0,0,26,26,10,1,epidemic,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,yellow,j,,0,0,27,27,18,1,hijack,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
,,,,,green,k,,0,0,28,28,21,1,massacre,Negative,JL,1,1,1,2022-12-26_17h18.06.714,estroop,2021.2.3,Win32,60.08171113,,,,,
