mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Colour,Answer,Response.keys,Response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,Type,participant,session,id,group,date,expName,psychopyVersion,OS,frameRate,outer_loop.thisRepN,outer_loop.thisTrialN,outer_loop.thisN,outer_loop.thisIndex,outer_loop.ran
0.067382813,-0.407226563,0,0,0,red,d,,0,0,0,0,1,1,primate,Practice,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,yellow,j,,0,0,1,1,0,1,gradual,Practice,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,yellow,j,,0,0,2,2,4,1,careful,Practice,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,red,d,,0,0,3,3,7,1,backdrop,Practice,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,red,d,,0,0,4,4,10,1,describe,Practice,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,yellow,j,,0,0,5,5,6,1,gardener,Practice,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,green,k,,0,0,6,6,12,1,area,Practice,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,yellow,j,,0,0,7,7,8,1,shoulder,Practice,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,blue,f,,0,0,8,8,9,1,bulletin,Practice,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,yellow,j,,0,0,9,9,14,1,crumb,Practice,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,green,k,,0,0,10,10,11,1,cloakroom,Practice,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,green,k,,0,0,11,11,5,1,overall,Practice,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,green,k,,0,0,12,12,2,1,distant,Practice,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,green,k,,0,0,13,13,13,1,back,Practice,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,blue,f,,0,0,14,14,3,1,carrier,Practice,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,,,,,,,,,,,,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,0,0,0,0,1
,,,,,red,d,,0,0,0,0,22,1,tartar,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,yellow,j,,0,0,1,1,21,1,adjacent,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,blue,f,,0,0,2,2,2,1,author,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,green,k,,0,0,3,3,12,1,appendix,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,yellow,j,,0,0,4,4,6,1,branch,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,red,d,,0,0,5,5,27,1,dozen,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,red,d,,0,0,6,6,20,1,clinic,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,blue,f,,0,0,7,7,11,1,abbey,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,green,k,,0,0,8,8,1,1,plywood,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,red,d,,0,0,9,9,0,1,silverware,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,blue,f,,0,0,10,10,5,1,basis,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,blue,f,,0,0,11,11,15,1,biscuit,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,red,d,,0,0,12,12,9,1,bathroom,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,green,k,,0,0,13,13,19,1,asparagus,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,yellow,j,,0,0,14,14,28,1,basket,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,blue,f,,0,0,15,15,14,1,lens,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,blue,f,,0,0,16,16,23,1,accept,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,green,k,,0,0,17,17,26,1,solitary,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,blue,f,,0,0,18,18,24,1,consulate,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,green,k,,0,0,19,19,29,1,clipboard,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,green,k,,0,0,20,20,4,1,conservative,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,yellow,j,,0,0,21,21,7,1,allow,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,blue,f,,0,0,22,22,17,1,derive,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,blue,f,,0,0,23,23,3,1,acre,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
,,,,,red,d,,0,0,24,24,8,1,oven,Neutral,Mark,1,1,1,2022-07-25_11h28.18.425,estroop,2021.2.3,MacIntel,58.82352941,,,,,
