mouse.x,mouse.y,mouse.leftButton,mouse.midButton,mouse.rightButton,Colour,Answer,Response.keys,Response.corr,trials.thisRepN,trials.thisTrialN,trials.thisN,trials.thisIndex,trials.ran,Word,Type,participant,session,id,group,date,expName,psychopyVersion,OS,frameRate,outer_loop.thisRepN,outer_loop.thisTrialN,outer_loop.thisN,outer_loop.thisIndex,outer_loop.ran
0.165740772,-0.412963047,0,0,0,red,d,,0,0,0,0,6,1,gardener,Practice,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,1,1,13,1,back,Practice,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,2,2,12,1,area,Practice,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,3,3,10,1,describe,Practice,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,4,4,1,1,primate,Practice,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,5,5,8,1,shoulder,Practice,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,6,6,11,1,cloakroom,Practice,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,7,7,3,1,carrier,Practice,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,8,8,4,1,careful,Practice,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,9,9,0,1,gradual,Practice,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,10,10,9,1,bulletin,Practice,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,11,11,2,1,distant,Practice,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,12,12,7,1,backdrop,Practice,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,13,13,14,1,crumb,Practice,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,14,14,5,1,overall,Practice,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,,,,,,,,,,,,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,0,0,0,0,1
,,,,,yellow,j,,0,0,0,0,20,1,clinic,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,1,1,2,1,author,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,2,2,18,1,almond,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,3,3,0,1,silverware,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,4,4,14,1,lens,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,5,5,5,1,basis,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,6,6,17,1,derive,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,7,7,28,1,basket,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,8,8,4,1,conservative,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,9,9,7,1,allow,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,10,10,25,1,hole,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,11,11,24,1,consulate,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,12,12,13,1,weatherman,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,13,13,16,1,involvement,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,14,14,21,1,adjacent,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,15,15,1,1,plywood,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,16,16,19,1,asparagus,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,17,17,22,1,tartar,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,18,18,11,1,abbey,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,19,19,12,1,appendix,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,20,20,27,1,dozen,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,21,21,26,1,solitary,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,22,22,6,1,branch,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,23,23,8,1,oven,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,24,24,29,1,clipboard,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,25,25,23,1,accept,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,26,26,10,1,omission,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,27,27,15,1,biscuit,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,28,28,9,1,bathroom,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,29,29,3,1,acre,Neutral,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,,,,,,,,,,,,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,1,0,1,0,1
,,,,,blue,f,,0,0,0,0,6,1,winner,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,1,1,0,1,enchanting,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,2,2,3,1,swim,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,3,3,24,1,seduction,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,4,4,12,1,pregnant,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,5,5,10,1,intimacy,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,6,6,8,1,sexy,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,7,7,21,1,treasure,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,8,8,23,1,travel,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,9,9,7,1,happy,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,10,10,27,1,alive,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,11,11,15,1,bravery,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,12,12,22,1,amazed,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,13,13,29,1,rewarding,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,14,14,2,1,energy,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,15,15,14,1,hire,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,16,16,11,1,adore,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,17,17,16,1,spectacular,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,18,18,20,1,genius,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,19,19,17,1,cinema,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,20,20,26,1,comedian,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,red,d,,0,0,21,21,19,1,thrilling,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,22,22,25,1,joke,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,23,23,13,1,cleverness,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,24,24,4,1,intelligence,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,25,25,28,1,invent,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,26,26,18,1,joyful,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,green,k,,0,0,27,27,1,1,prosper,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,28,28,9,1,festival,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,yellow,j,,0,0,29,29,5,1,magic,Positive,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,,,,,,,,,,,,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,2,0,2,0,1
,,,,,yellow,j,,0,0,0,0,17,1,herpes,Negative,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
,,,,,blue,f,,0,0,1,1,8,1,debt,Negative,,,,,2022-04-30_02h25.11.971,estroop,2021.2.3,Win32,60.55101423,,,,,
